Date,Quarter,Month,Frequency,Day of Week,trip_duration_seconds,Distance,Ave_duration,Ave_disdance
2017-07-04,3,July,4740,Tue,5738457,3991581.0,1210.6449367088608,842.1056962025316
2017-07-05,3,July,6431,Wed,7418353,3684888.0,1153.5302441299953,572.9883377390763
2017-07-06,3,July,5067,Thu,7757499,2689755.0,1530.984606275903,530.837773830669
2017-07-07,3,July,4350,Fri,4343217,1903484.0,998.4406896551724,437.5825287356322
2017-07-08,3,July,4556,Sat,7966200,2089265.0,1748.5074626865671,458.57440737489026
2017-07-09,3,July,3655,Sun,5312783,1263843.0,1453.565800273598,345.7846785225718
2017-07-10,3,July,4482,Mon,4456915,1456118.0,994.4031682284694,324.88130298973675
2017-07-11,3,July,4952,Tue,5438991,1653614.0,1098.3422859450727,333.92851373182555
2017-07-12,3,July,6154,Wed,6002725,1460432.0,975.418427039324,237.31426714332142
2017-07-13,3,July,3731,Thu,3112116,826679.0,834.1238273921201,221.5703564727955
2017-07-14,3,July,4645,Fri,5058017,1049032.0,1088.9164693218515,225.8411194833154
2017-07-15,3,July,5142,Sat,8899249,1529469.0,1730.6979774406846,297.4463243873979
2017-07-16,3,July,3860,Sun,5477206,1019921.0,1418.9652849740933,264.2282383419689
2017-07-17,3,July,4531,Mon,4490209,931078.0,990.9973515780181,205.49062017214743
2017-07-18,3,July,4990,Tue,5565771,1029464.0,1115.3849699398797,206.30541082164328
2017-07-19,3,July,7517,Wed,8580345,1400147.0,1141.458693627777,186.26406811227884
2017-07-20,3,July,4614,Thu,4300377,740147.0,932.0279583875163,160.41330732553098
2017-07-21,3,July,4781,Fri,5462153,780663.0,1142.4708220037649,163.28445931813428
2017-07-22,3,July,3458,Sat,7024614,664270.0,2031.4094852515905,192.0965876229034
2017-07-23,3,July,3743,Sun,6529930,719249.0,1744.5711995725353,192.15842906759283
2017-07-24,3,July,4489,Mon,4235093,590660.0,943.4379594564491,131.57941635108043
2017-07-25,3,July,5031,Tue,10533133,752102.0,2093.645994832041,149.4935400516796
2017-07-26,3,July,7232,Wed,8029827,789691.0,1110.3189988938052,109.19399889380531
2017-07-27,3,July,4451,Thu,5069762,575461.0,1139.016400808807,129.28802516288474
2017-07-28,3,July,5270,Fri,6420637,591154.0,1218.3371916508538,112.17343453510436
2017-07-29,3,July,5151,Sat,9348502,751594.0,1814.8907008347894,145.91225004853428
2017-07-30,3,July,4568,Sun,7659368,690133.0,1676.7443082311734,151.07990367775832
2017-07-31,3,July,4910,Mon,5337677,576521.0,1087.1032586558044,117.41771894093687
2017-08-01,3,August,4850,Tue,5273372,543565.0,1087.2931958762886,112.07525773195876
2017-08-02,3,August,5207,Wed,6028361,592502.0,1157.7416938736317,113.7895141156136
2017-08-03,3,August,5122,Thu,12941353,574626.0,2526.621046466224,112.18781725888324
2017-08-04,3,August,3298,Fri,3327001,259489.0,1008.7935112189206,78.68071558520316
2017-08-05,3,August,3968,Sat,6743761,438611.0,1699.5365423387098,110.53704637096774
2017-08-06,3,August,4410,Sun,8982681,448083.0,2036.8891156462585,101.60612244897959
2017-08-07,3,August,3032,Mon,4703940,321863.0,1551.4313984168866,106.15534300791556
2017-08-08,3,August,5296,Tue,5545462,597774.0,1047.1038519637461,112.87273413897282
2017-08-09,3,August,5505,Wed,6509931,825117.0,1182.5487738419617,149.8850136239782
2017-08-10,3,August,5755,Thu,6215742,1047389.0,1080.0594265855777,181.99635099913118
2017-08-11,3,August,4927,Fri,4595382,776990.0,932.6937284351533,157.70042622285365
2017-08-12,3,August,4559,Sat,7041148,1066267.0,1544.4500987058566,233.8817723184909
2017-08-13,3,August,5248,Sun,9189857,1298295.0,1751.1160442073171,247.38852896341464
2017-08-14,3,August,5340,Mon,7735684,884638.0,1448.6299625468164,165.6625468164794
2017-08-15,3,August,5313,Tue,5672591,1046013.0,1067.6813476378693,196.8780350084698
2017-08-16,3,August,5938,Wed,6725165,1243735.0,1132.5639946109802,209.45351970360392
2017-08-17,3,August,3731,Thu,3492354,688261.0,936.0369874028411,184.47091932457786
2017-08-18,3,August,5546,Fri,6048195,1643665.0,1090.550847457627,296.36945546339706
2017-08-19,3,August,5020,Sat,7478504,1359665.0,1489.7418326693228,270.8496015936255
2017-08-20,3,August,5720,Sun,15024528,1737443.0,2626.665734265734,303.74877622377625
2017-08-21,3,August,5857,Mon,9132962,1520920.0,1559.324227420181,259.6756018439474
2017-08-22,3,August,5160,Tue,4163580,1193685.0,806.8953488372093,231.3343023255814
2017-08-23,3,August,6076,Wed,6985043,1472867.0,1149.6120803159974,242.40734035549704
2017-08-24,3,August,5671,Thu,5895622,1231873.0,1039.60888732146,217.22324105096104
2017-08-25,3,August,5834,Fri,5733815,1165318.0,982.8273911552965,199.745971888927
2017-08-26,3,August,5573,Sat,9188165,1284887.0,1648.6928045935763,230.55571505472815
2017-08-27,3,August,4820,Sun,8460002,1018333.0,1755.1871369294606,211.27240663900415
2017-08-28,3,August,5198,Mon,5119712,977489.0,984.9388226240862,188.05098114659484
2017-08-29,3,August,5961,Tue,6450352,989099.0,1082.0922663982553,165.92836772353633
2017-08-30,3,August,5671,Wed,6112962,957107.0,1077.933697760536,168.77217421971434
2017-08-31,3,August,5565,Thu,5375822,900633.0,966.0057502246182,161.8388140161725
2017-09-01,3,September,4977,Fri,5666316,773770.0,1138.5003013863773,155.46915812738598
2017-09-02,3,September,4877,Sat,8228097,976896.0,1687.1226163625179,200.30674595037934
2017-09-03,3,September,4093,Sun,5959223,639758.0,1455.9548008795505,156.30539946249695
2017-09-04,3,September,4707,Mon,8306347,809221.0,1764.6796260888038,171.91863182494157
2017-09-05,3,September,4888,Tue,3863803,717478.0,790.467062193126,146.78355155482814
2017-09-06,3,September,5701,Wed,5261274,813374.0,922.8686195404315,142.67216277845992
2017-09-07,3,September,4883,Thu,4220889,620812.0,864.4048740528364,127.1374155232439
2017-09-08,3,September,5636,Fri,6704014,792200.0,1189.4985805535841,140.56068133427962
2017-09-09,3,September,4876,Sat,7027238,924468.0,1441.1890894175554,189.59557013945857
2017-09-10,3,September,4767,Sun,6481518,787814.0,1359.6639395846444,165.26410740507657
2017-09-11,3,September,5653,Mon,5198287,753891.0,919.5625331682293,133.36122412878117
2017-09-12,3,September,5972,Tue,5489364,779060.0,919.1835231078365,130.45210984594775
2017-09-13,3,September,6089,Wed,5236636,773835.0,860.0157661356544,127.08737066841846
2017-09-14,3,September,6008,Thu,5268808,721181.0,876.965379494008,120.03678428761651
2017-09-15,3,September,6191,Fri,6095998,765344.0,984.6548215151025,123.62203198190922
2017-09-16,3,September,5658,Sat,10650508,891897.0,1882.3803464121597,157.63467656415693
2017-09-17,3,September,5665,Sun,9296698,834273.0,1641.0764342453663,147.26796116504855
2017-09-18,3,September,5824,Mon,5670012,691796.0,973.5597527472528,118.78365384615384
2017-09-19,3,September,5901,Tue,5591334,592630.0,947.5231316725979,100.42874089137435
2017-09-20,3,September,6326,Wed,5863510,799030.0,926.8906101802087,126.30888397091368
2017-09-21,3,September,6345,Thu,5929234,584310.0,934.4734436564224,92.08983451536643
2017-09-22,3,September,6368,Fri,6558042,708058.0,1029.8432788944724,111.19001256281408
2017-09-23,3,September,5797,Sat,8957059,721147.0,1545.119717095049,124.40003450060377
2017-09-24,3,September,4999,Sun,11526773,590698.0,2305.8157631526306,118.16323264652931
2017-09-25,3,September,5741,Mon,5385204,472620.0,938.0254311095628,82.32363699703885
2017-09-26,3,September,6188,Tue,5613880,507656.0,907.2204266321913,82.0387847446671
2017-09-27,3,September,6125,Wed,4861968,565611.0,793.790693877551,92.34465306122449
2017-09-28,3,September,5657,Thu,4488981,474165.0,793.5267809793177,83.81916210005303
2017-09-29,3,September,4307,Fri,3317066,284847.0,770.1569537961458,66.1358254005108
2017-09-30,3,September,4267,Sat,5294421,397177.0,1240.7829857042418,93.0810874150457
2017-10-01,4,October,4408,Sun,6041307,355678.0,1370.532441016334,80.68920145190563
2017-10-02,4,October,5122,Mon,4255187,276548.0,830.7666926981648,53.992190550566185
2017-10-03,4,October,5590,Tue,4752006,338715.0,850.090518783542,60.593023255813954
2017-10-04,4,October,5036,Wed,3779960,370668.0,750.5877680698967,73.60365369340747
2017-10-05,4,October,5739,Thu,4886458,515126.0,851.4476389614915,89.75884300400767
2017-10-06,4,October,5360,Fri,5298854,375889.0,988.5921641791044,70.1285447761194
2017-10-07,4,October,3847,Sat,4978736,363458.0,1294.1866389394334,94.47829477514946
2017-10-08,4,October,3987,Sun,7694922,307417.0,1930.0030097817908,77.10484073238024
2017-10-09,4,October,3056,Mon,4356834,197311.0,1425.6655759162304,64.56511780104712
2017-10-10,4,October,5632,Tue,5375576,331937.0,954.4701704545455,58.93767755681818
2017-10-11,4,October,3626,Wed,2430470,144080.0,670.2895752895753,39.73524544953116
2017-10-12,4,October,4536,Thu,3296500,217917.0,726.741622574956,48.041666666666664
2017-10-13,4,October,4952,Fri,4015162,299911.0,810.8162358642973,60.56361066235864
2017-10-14,4,October,3071,Sat,3009864,269257.0,980.0924780201889,87.67730380983393
2017-10-15,4,October,2442,Sun,2034217,117786.0,833.0126945126946,48.233415233415236
2017-10-16,4,October,4468,Mon,3357206,203796.0,751.3889883616831,45.6123545210385
2017-10-17,4,October,5079,Tue,4211681,253114.0,829.2342980901752,49.835400669423116
2017-10-18,4,October,5367,Wed,4236383,342393.0,789.3391093720887,63.79597540525433
2017-10-19,4,October,5421,Thu,4321842,367036.0,797.2407304925291,67.7063272458956
2017-10-20,4,October,5694,Fri,5486535,359088.0,963.5642781875658,63.06427818756586
2017-10-21,4,October,4908,Sat,5896616,423014.0,1201.4295028524857,86.18867155664222
2017-10-22,4,October,5007,Sun,7320000,416993.0,1461.9532654284003,83.28200519273018
2017-10-23,4,October,3703,Mon,2868491,161286.0,774.639751552795,43.55549554415339
2017-10-24,4,October,4729,Tue,3674667,257967.0,777.0494819200677,54.55001057305984
2017-10-25,4,October,4690,Wed,3446580,253502.0,734.8784648187633,54.051599147121536
2017-10-26,4,October,4494,Thu,3384569,218017.0,753.1306186025812,48.512906097018245
2017-10-27,4,October,4735,Fri,3710311,242457.0,783.5926082365364,51.20527983104541
2017-10-28,4,October,1680,Sat,1193649,74720.0,710.5053571428572,44.476190476190474
2017-10-29,4,October,2616,Sun,2228853,141840.0,852.0080275229358,54.22018348623853
2017-10-30,4,October,3803,Mon,2643178,139765.0,695.0244543781225,36.751249013936366
2017-10-31,4,October,3917,Tue,2725635,125554.0,695.8475874393669,32.053612458514166
2017-11-01,4,November,3564,Wed,2430745,108726.0,682.02721661055,30.506734006734007
2017-11-02,4,November,3409,Thu,2358876,180985.0,691.9554121443239,53.09034907597536
2017-11-03,4,November,4283,Fri,3282464,160005.0,766.3936493112304,37.358160168106465
2017-11-04,4,November,2344,Sat,1966597,174327.0,838.9918941979522,74.37158703071673
2017-11-05,4,November,1223,Sun,803486,90038.0,656.9795584627964,73.62060506950122
2017-11-06,4,November,3678,Mon,2834670,158315.0,770.7096247960849,43.043773790103316
2017-11-07,4,November,3832,Tue,2936740,201063.0,766.3726513569937,52.46946764091858
2017-11-08,4,November,3874,Wed,2903434,109264.0,749.4667010841507,28.204439855446566
2017-11-09,4,November,3242,Thu,2543644,110971.0,784.5909932140654,34.22917951881555
2017-11-10,4,November,2205,Fri,1393384,60494.0,631.9201814058957,27.434920634920633
2017-11-11,4,November,1643,Sat,1744756,64113.0,1061.933049300061,39.0219111381619
2017-11-12,4,November,1709,Sun,1283338,92752.0,750.929198361615,54.27267407840843
2017-11-13,4,November,2956,Mon,2089644,89463.0,706.9161028416779,30.264884979702302
2017-11-14,4,November,3704,Tue,2486069,130374.0,671.1849352051836,35.19816414686825
2017-11-15,4,November,3444,Wed,2392642,103147.0,694.7276422764228,29.949767711962835
2017-11-16,4,November,3250,Thu,2158655,115572.0,664.2015384615385,35.56061538461538
2017-11-17,4,November,3126,Fri,2310874,74252.0,739.2431222008958,23.753039027511196
2017-11-18,4,November,1249,Sat,1100124,118095.0,880.8038430744596,94.55164131305044
2017-11-19,4,November,1684,Sun,1187844,72994.0,705.3705463182898,43.34560570071259
2017-11-20,4,November,3173,Mon,2342103,120050.0,738.1352032776553,37.8348566025843
2017-11-21,4,November,3677,Tue,2928525,83501.0,796.4441120478651,22.709001903725863
2017-11-22,4,November,3166,Wed,2035683,80752.0,642.9826279216677,25.50600126342388
2017-11-23,4,November,3219,Thu,2057856,78732.0,639.2842497670084,24.45852749301025
2017-11-24,4,November,3531,Fri,2502994,132807.0,708.862645143019,37.611724723874254
2017-11-25,4,November,2131,Sat,1590892,106621.0,746.547160957297,50.033317691224774
2017-11-26,4,November,1618,Sun,1069605,84077.0,661.0661310259579,51.96353522867738
2017-11-27,4,November,3092,Mon,2042225,123788.0,660.4867399741267,40.034928848641655
2017-11-28,4,November,3867,Tue,2756840,131824.0,712.9144039306956,34.08947504525472
2017-11-29,4,November,3475,Wed,2283283,105307.0,657.0598561151079,30.304172661870503
2017-11-30,4,November,3004,Thu,1955714,73471.0,651.0366178428761,24.457723035952064
2017-12-01,4,December,3303,Fri,2821483,112033.0,854.2182864062974,33.91855888586134
2017-12-02,4,December,2140,Sat,1912113,138761.0,893.5107476635515,64.84158878504672
2017-12-03,4,December,2023,Sun,1635931,103223.0,808.6658428077113,51.02471576866041
2017-12-04,4,December,3186,Mon,2247066,91053.0,705.2937853107345,28.57909604519774
2017-12-05,4,December,2852,Tue,2004649,80718.0,702.8923562412342,28.302244039270686
2017-12-06,4,December,2865,Wed,1764874,73710.0,616.011867364747,25.727748691099478
2017-12-07,4,December,2807,Thu,1729608,100377.0,616.1767011043819,35.75952974706092
2017-12-08,4,December,2501,Fri,1694230,61971.0,677.4210315873651,24.778488604558177
2017-12-09,4,December,1617,Sat,1039412,89141.0,642.8027210884354,55.1273964131107
2017-12-10,4,December,1173,Sun,701264,70746.0,597.8380221653879,60.312020460358056
2017-12-11,4,December,1694,Mon,1153788,25926.0,681.1027154663518,15.304604486422669
2017-12-12,4,December,1116,Tue,805291,13290.0,721.586917562724,11.908602150537634
2017-12-13,4,December,1400,Wed,892589,23823.0,637.5635714285714,17.01642857142857
2017-12-14,4,December,1510,Thu,945732,51648.0,626.312582781457,34.203973509933775
2017-12-15,4,December,1308,Fri,869499,43453.0,664.7545871559633,33.22094801223242
2017-12-16,4,December,838,Sat,523749,17800.0,624.9988066825775,21.241050119331742
2017-12-17,4,December,636,Sun,342810,21741.0,539.0094339622641,34.18396226415094
2017-12-18,4,December,1254,Mon,791718,37282.0,631.3540669856459,29.730462519936204
2017-12-19,4,December,2409,Tue,1552777,53977.0,644.5732669157327,22.40639269406393
2017-12-20,4,December,2244,Wed,1428893,72457.0,636.7615864527629,32.28921568627451
2017-12-21,4,December,1963,Thu,1430344,47044.0,728.6520631686194,23.965359144167092
2017-12-22,4,December,544,Fri,374694,3792.0,688.7757352941177,6.970588235294118
2017-12-23,4,December,349,Sat,244836,4808.0,701.5358166189112,13.776504297994268
2017-12-24,4,December,325,Sun,204999,16671.0,630.7661538461539,51.29538461538461
2017-12-25,4,December,88,Mon,68740,3821.0,781.1363636363636,43.42045454545455
2017-12-26,4,December,208,Tue,140872,9124.0,677.2692307692307,43.86538461538461
2017-12-27,4,December,506,Wed,338002,10476.0,667.9881422924901,20.703557312252965
2017-12-28,4,December,499,Thu,324085,12391.0,649.4689378757515,24.831663326653306
2017-12-29,4,December,351,Fri,217781,2758.0,620.4586894586895,7.8575498575498575
2017-12-30,4,December,336,Sat,210003,1915.0,625.0089285714286,5.699404761904762
2017-12-31,4,December,297,Sun,159963,0.0,538.5959595959596,0.0
